Action,Rule,Source,Destination,SizeBytes,SHA256
MOVED,GUIPy,"C:\Users\arwco\OneDrive\Documents\ai_stuff\ai_control_gui.py","C:\Users\arwco\OneDrive\Documents\ai_stuff\gui\ai_control_gui.py",31856,A17B2363F66D06C90003C32C3A059D8299238B098051364BAA65E3B8A770F23F
MOVED,DesignMD,"C:\Users\arwco\OneDrive\Documents\ai_stuff\anticipatory_engine_design.md","C:\Users\arwco\OneDrive\Documents\ai_stuff\docs\design\anticipatory_engine_design.md",4340,E973FF6D02DF629B4DA836ACFB3CFA07853D2322081615A4654A2706EE4ECC12
MOVED,SecurityEnc,"C:\Users\arwco\OneDrive\Documents\ai_stuff\audit_results.enc","C:\Users\arwco\OneDrive\Documents\ai_stuff\security\audit_results.enc",120,AE0C34F67A0E1C808294F8F2CA100C18A8DD92301FADEA1F4C0D23B71F5B6A6F
MOVED,DesignMD,"C:\Users\arwco\OneDrive\Documents\ai_stuff\desktop_ipc_design.md","C:\Users\arwco\OneDrive\Documents\ai_stuff\docs\design\desktop_ipc_design.md",3645,CCB40A1715F9272CA55F1AFA01C798DA13140147C64E7B5243154D35774C8BD6
MOVED,Logs,"C:\Users\arwco\OneDrive\Documents\ai_stuff\failed_events.log","C:\Users\arwco\OneDrive\Documents\ai_stuff\logs\failed_events.log",7095,2E304BB00371FABC849D022D2E03BCEA32756DB9A114FA1A740CE304C14E29FD
MOVED,AnyZip,"C:\Users\arwco\OneDrive\Documents\ai_stuff\igris_autonomous_builder_updated.zip","C:\Users\arwco\OneDrive\Documents\ai_stuff\releases\igris_autonomous_builder_updated.zip",1376,E116340B0BB040B8AEDC6026F30CCE55857386BF67E7B49B859B23322D656440
MOVED,ZeroByte,"C:\Users\arwco\OneDrive\Documents\ai_stuff\igris_cli_merged_with_tag_patch.py","C:\Users\arwco\OneDrive\Documents\ai_stuff\_review_zero_byte\igris_cli_merged_with_tag_patch.py",0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855
MOVED,ZeroByte,"C:\Users\arwco\OneDrive\Documents\ai_stuff\igris_control_gui_main_final_fixed_importlib_patch_patched.py","C:\Users\arwco\OneDrive\Documents\ai_stuff\_review_zero_byte\igris_control_gui_main_final_fixed_importlib_patch_patched.py",0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855
MOVED,CorePy,"C:\Users\arwco\OneDrive\Documents\ai_stuff\igris_core.py","C:\Users\arwco\OneDrive\Documents\ai_stuff\core\igris_core.py",5689,A6E635F1C487028D1207EF343952278CB9667BF3082B43B1F70D5E668ED7D9E8
MOVED,PatchedZip,"C:\Users\arwco\OneDrive\Documents\ai_stuff\Igris_Final_Patched.zip","C:\Users\arwco\OneDrive\Documents\ai_stuff\releases\Igris_Final_Patched.zip",32475,569C37A7DE5FBA7237BE5E288A075DB009048B1DFA0EA5E9E9FC2B9DB75D7F53
MOVED,UserManual,"C:\Users\arwco\OneDrive\Documents\ai_stuff\Igris_OS_CLI_User_Manual.txt","C:\Users\arwco\OneDrive\Documents\ai_stuff\docs\manuals\Igris_OS_CLI_User_Manual.txt",3764,E1F73DB8D4F09F8F9EA205058CF410C9E41B6B120DCE94BDBDCDCC5787CC6E05
